epoch,loss,w,b,grad_norm
0,15.4335,1.75645,-0.748688,19.9975
1,3.78906,2.13169,-0.593713,10.3072
2,1.17953,2.30198,-0.512244,4.80882
3,0.58047,2.37763,-0.46486,2.55326
4,0.429428,2.40959,-0.433345,2.37428
5,0.382732,2.4214,-0.409282,2.27659
6,0.362383,2.42394,-0.388781,2.2323
7,0.349611,2.42223,-0.370044,2.26236
8,0.339439,2.4186,-0.352238,2.26078
9,0.330362,2.41412,-0.334977,2.24478
10,0.321851,2.40927,-0.318082,2.22232
11,0.313699,2.40429,-0.301467,2.19705
12,0.305815,2.39929,-0.285093,2.17068
13,0.298156,2.39431,-0.268939,2.14398
14,0.290702,2.38938,-0.252995,2.11731
15,0.283441,2.38449,-0.237254,2.09083
16,0.276363,2.37967,-0.221712,2.06463
17,0.269463,2.3749,-0.206366,2.03872
18,0.262736,2.37019,-0.191213,2.01313
19,0.256177,2.36554,-0.176251,1.98785
20,0.249782,2.36095,-0.161477,1.96288
21,0.243546,2.35642,-0.146888,1.93823
22,0.237467,2.35194,-0.132482,1.91388
23,0.231539,2.34752,-0.118258,1.88984
24,0.225759,2.34316,-0.104212,1.86611
25,0.220123,2.33885,-0.0903427,1.84267
26,0.214628,2.33459,-0.0766474,1.81952
27,0.20927,2.33039,-0.0631242,1.79667
28,0.204046,2.32624,-0.0497709,1.7741
29,0.198953,2.32214,-0.0365853,1.75182
30,0.193986,2.31809,-0.0235653,1.72981
31,0.189144,2.3141,-0.0107088,1.70809
32,0.184422,2.31015,0.00198618,1.68663
33,0.179818,2.30626,0.0145217,1.66545
34,0.175329,2.30241,0.0268998,1.64453
35,0.170953,2.29861,0.0391224,1.62387
36,0.166685,2.29486,0.0511915,1.60348
37,0.162524,2.29116,0.063109,1.58333
38,0.158467,2.2875,0.0748767,1.56345
39,0.154511,2.28389,0.0864967,1.54381
40,0.150654,2.28032,0.0979708,1.52442
41,0.146893,2.2768,0.109301,1.50527
42,0.143226,2.27333,0.120488,1.48636
43,0.139651,2.26989,0.131535,1.4677
44,0.136165,2.2665,0.142444,1.44926
45,0.132766,2.26315,0.153215,1.43106
46,0.129451,2.25985,0.163851,1.41308
47,0.12622,2.25659,0.174353,1.39533
48,0.123069,2.25336,0.184724,1.37781
49,0.119997,2.25018,0.194964,1.3605
50,0.117001,2.24704,0.205076,1.34341
51,0.114081,2.24394,0.21506,1.32654
52,0.111233,2.24087,0.22492,1.30988
53,0.108456,2.23785,0.234655,1.29342
54,0.105749,2.23486,0.244268,1.27718
55,0.103109,2.23191,0.253761,1.26114
56,0.100535,2.229,0.263134,1.2453
57,0.0980252,2.22612,0.272389,1.22965
58,0.0955782,2.22328,0.281528,1.21421
59,0.0931923,2.22047,0.290553,1.19896
60,0.0908659,2.21771,0.299464,1.1839
61,0.0885976,2.21497,0.308263,1.16903
62,0.0863859,2.21227,0.316951,1.15434
63,0.0842295,2.2096,0.325531,1.13985
64,0.0821268,2.20697,0.334002,1.12553
65,0.0800767,2.20437,0.342367,1.11139
66,0.0780777,2.20181,0.350628,1.09743
67,0.0761286,2.19927,0.358784,1.08365
68,0.0742282,2.19677,0.366838,1.07004
69,0.0723753,2.1943,0.374791,1.0566
70,0.0705685,2.19186,0.382644,1.04332
71,0.0688069,2.18945,0.390398,1.03022
72,0.0670893,2.18707,0.398055,1.01728
73,0.0654145,2.18472,0.405616,1.0045
74,0.0637816,2.1824,0.413081,0.991886
75,0.0621894,2.18011,0.420453,0.979427
76,0.0606369,2.17784,0.427733,0.967125
77,0.0591232,2.17561,0.434921,0.954977
78,0.0576473,2.1734,0.442018,0.942982
79,0.0562083,2.17123,0.449027,0.931138
80,0.0548051,2.16907,0.455947,0.919443
81,0.053437,2.16695,0.462781,0.907894
82,0.0521031,2.16485,0.469529,0.89649
83,0.0508024,2.16278,0.476192,0.88523
84,0.0495342,2.16074,0.482771,0.874111
85,0.0482977,2.15872,0.489268,0.863132
86,0.047092,2.15673,0.495683,0.85229
87,0.0459165,2.15476,0.502017,0.841585
88,0.0447702,2.15281,0.508272,0.831015
89,0.0436526,2.15089,0.514448,0.820577
90,0.0425629,2.149,0.520547,0.81027
91,0.0415004,2.14713,0.526569,0.800092
92,0.0404644,2.14528,0.532516,0.790043
93,0.0394543,2.14345,0.538388,0.78012
94,0.0384694,2.14165,0.544186,0.770321
95,0.0375091,2.13987,0.549911,0.760645
96,0.0365727,2.13812,0.555564,0.751091
97,0.0356598,2.13638,0.561147,0.741657
98,0.0347696,2.13467,0.566659,0.732342
99,0.0339016,2.13298,0.572102,0.723143
100,0.0330553,2.13131,0.577476,0.71406
101,0.0322302,2.12966,0.582783,0.705091
102,0.0314256,2.12803,0.588024,0.696235
103,0.0306411,2.12642,0.593198,0.68749
104,0.0298762,2.12483,0.598308,0.678855
105,0.0291304,2.12327,0.603354,0.670328
106,0.0284032,2.12172,0.608336,0.661908
107,0.0276942,2.12019,0.613255,0.653594
108,0.0270029,2.11868,0.618113,0.645385
109,0.0263288,2.11719,0.622909,0.637279
110,0.0256715,2.11572,0.627646,0.629274
